range,bubble,insertion,selection,merge
15000,0.710714,0.351543,0.326349,0.008548
15000,0.785268,0.296845,0.328023,0.006406
15000,0.690559,0.300203,0.322462,0.008335
15000,0.766013,0.308668,0.312547,0.008582
15000,0.715336,0.332843,0.316091,0.006142
15000,0.701242,0.291897,0.316568,0.006458
15000,0.714533,0.367725,0.331516,0.006780
15000,0.755959,0.322636,0.322799,0.006094
15000,0.685284,0.311359,0.311400,0.009091
15000,0.682141,0.345441,0.328731,0.006177
15000,0.711191,0.332386,0.340028,0.008037
15000,0.760780,0.373271,0.342351,0.009768
15000,0.808708,0.375236,0.345104,0.008551
15000,0.728638,0.328032,0.313503,0.008279
15000,0.705170,0.301977,0.328244,0.006292
15000,0.699941,0.291798,0.323791,0.006252
15000,0.743245,0.294150,0.321987,0.006584
15000,0.707119,0.317938,0.323497,0.006912
15000,0.693674,0.305595,0.326759,0.006803
15000,0.697187,0.313601,0.328206,0.006788
15000,0.705161,0.284537,0.323341,0.006453
15000,0.684319,0.300578,0.318708,0.006194
15000,0.701821,0.301768,0.321820,0.007880
15000,0.712121,0.309683,0.317054,0.009421
15000,0.701166,0.301549,0.315916,0.006793
15000,0.705082,0.332414,0.319656,0.008183
15000,0.693557,0.306051,0.330876,0.006240
15000,0.727183,0.293922,0.326463,0.009563
15000,0.687180,0.311941,0.323923,0.006775
20000,1.244610,0.523705,0.561280,0.008674
20000,1.290716,0.557388,0.576566,0.012265
20000,1.261958,0.535373,0.566905,0.011569
20000,1.254196,0.527245,0.572843,0.008819
20000,1.290927,0.531353,0.575780,0.011066
20000,1.304749,0.520635,0.569060,0.011524
20000,1.269672,0.520469,0.568838,0.013030
20000,1.347904,0.541772,0.573489,0.009377
20000,1.284953,0.515718,0.567670,0.008576
20000,1.350813,0.538186,0.575210,0.011253
20000,1.293067,0.536678,0.566284,0.008494
20000,1.239945,0.513724,0.563050,0.009177
20000,1.242014,0.565275,0.593713,0.009988
20000,1.345040,0.569628,0.575566,0.013333
20000,1.312434,0.528406,0.571695,0.008481
20000,1.237375,0.511685,0.568389,0.008353
20000,1.263276,0.544330,0.577505,0.009103
20000,1.297143,0.556562,0.575713,0.011098
20000,1.313800,0.552647,0.569258,0.012939
20000,1.296441,0.539325,0.588374,0.008770
20000,1.293212,0.534210,0.570567,0.008251
20000,1.243358,0.522875,0.580893,0.008728
20000,1.306836,0.536834,0.567487,0.013284
20000,1.267721,0.508625,0.563031,0.009457
20000,1.267063,0.581236,0.581199,0.008644
20000,1.293566,0.537983,0.572942,0.010482
20000,1.274722,0.535357,0.565481,0.008621
20000,1.225725,0.507464,0.564722,0.010560
20000,1.308109,0.514578,0.555324,0.008468
20000,1.361283,0.547349,0.567703,0.008561
20000,1.330107,0.551452,0.566926,0.008643
20000,1.279022,0.589651,0.558761,0.010437
20000,1.325396,0.553242,0.609639,0.013348
20000,1.432435,0.529535,0.561309,0.008395
20000,1.245113,0.600565,0.588124,0.008664
20000,1.422447,0.521141,0.569276,0.010160
20000,1.237042,0.540540,0.566734,0.008596
20000,1.244425,0.509082,0.565125,0.008805
20000,1.218679,0.520076,0.557486,0.011189
20000,1.239690,0.536066,0.555713,0.010786
20000,1.254729,0.546925,0.582686,0.008961
20000,1.326216,0.550382,0.570376,0.008410
20000,1.387625,0.617325,0.568725,0.010424
20000,1.488037,0.667262,0.614862,0.012865
20000,1.412398,0.547970,0.570862,0.010456
20000,1.284575,0.591723,0.587460,0.011706
20000,1.280556,0.542701,0.560561,0.009242
20000,1.281403,0.530823,0.580769,0.012744
20000,1.513527,0.626618,0.577063,0.011626
20000,1.326485,0.542354,0.579162,0.009017
25000,2.238964,0.937755,0.884485,0.010282
25000,2.020784,0.842416,0.916324,0.014540
25000,2.116166,0.932505,0.916440,0.013821
25000,2.118069,0.857038,0.882033,0.011150
25000,2.150964,0.987097,0.898274,0.011946
25000,2.103740,0.904542,0.894608,0.012832
25000,2.056867,0.869614,0.931176,0.012900
25000,2.034708,0.838249,0.880159,0.012336
25000,1.929147,0.814118,0.885466,0.014229
25000,1.962049,0.821495,0.871467,0.010379
25000,1.938547,0.821133,0.888914,0.014150
25000,2.103018,1.060677,0.920677,0.011243
25000,2.113328,0.911300,0.887052,0.010395
25000,2.059465,0.796884,0.899494,0.012565
25000,2.133278,0.966086,0.945291,0.014609
25000,2.151706,0.814816,0.879148,0.011438
25000,1.998699,0.849976,0.893736,0.013174
25000,1.989481,0.831788,0.895745,0.015702
25000,2.030477,0.873763,0.901791,0.010530
25000,1.977822,0.831116,0.884679,0.010818
25000,1.987200,0.797400,0.892568,0.011808
25000,1.975264,0.832357,0.898342,0.013825
25000,1.998522,0.798268,0.884398,0.011852
25000,2.046564,0.836687,0.881743,0.010618
25000,1.986777,0.835969,0.896776,0.013386
25000,1.998671,0.807197,0.882903,0.014523
25000,1.991467,0.866047,0.913141,0.014494
25000,2.002214,0.828208,0.882009,0.012967
25000,2.065321,0.857614,0.893881,0.010540
25000,2.007408,0.907208,0.899560,0.010406
25000,2.031059,0.827665,0.876271,0.014225
25000,1.920300,0.800880,0.868946,0.013046
25000,2.021890,0.825888,0.884307,0.015043
25000,2.036203,0.841275,0.879279,0.012068
25000,2.087527,0.800226,0.882792,0.012837
25000,2.182180,0.867372,0.889766,0.015662
25000,2.120438,0.949276,0.904969,0.016329
25000,2.110443,0.912035,0.886910,0.010743
25000,2.065289,0.885572,0.934002,0.015062
25000,2.273860,1.030916,0.912643,0.014170
25000,2.218769,0.905957,0.886856,0.012375
25000,2.015796,0.840791,0.885981,0.011632
25000,2.005199,0.798981,0.875550,0.010393
25000,1.937083,0.831054,0.871805,0.011158
25000,1.971510,0.847622,0.877825,0.015705
25000,1.982741,0.861410,0.881763,0.010499
25000,1.922518,0.794324,0.870510,0.012673
25000,1.971969,0.834851,0.884870,0.010790
25000,1.930092,0.791938,0.873791,0.010484
25000,1.991869,0.829235,0.880762,0.010856
30000,2.885865,1.173026,1.273685,0.017093
30000,2.915881,1.187799,1.260435,0.013940
30000,2.829310,1.135094,1.259555,0.017831
30000,2.925288,1.172866,1.252160,0.012584
30000,2.892289,1.175862,1.263800,0.016237
30000,2.889915,1.165744,1.254438,0.012948
30000,2.951371,1.192559,1.263206,0.012580
30000,2.916652,1.224101,1.268513,0.012159
30000,2.858032,1.128218,1.259633,0.012619
30000,2.899805,1.177003,1.260054,0.012367
